pdb1a0n.pdb, A, 91, 99
pdb1abo.pdb, D, 4, 10
pdb1avz.pdb, B, 71, 78
pdb1aze.pdb, B, 2, 9
pdb1azg.pdb, A, 91, 99
pdb1b07.pdb, C, 3, 11
pdb1bbz.pdb, H, 3, 10
pdb1cka.pdb, B, 1, 9
pdb1ckb.pdb, B, 1, 8
pdb1csk.pdb, A, 19, 24
pdb1efn.pdb, D, 71, 78
pdb1fyn.pdb, B, 3, 10
pdb1g83.pdb, A, 208, 220
pdb1gbq.pdb, B, 1, 10
pdb1gcq.pdb, C, 607, 613
pdb1h3h.pdb, B, 77, 83
pdb1io6.pdb, B, 4, 10
pdb1jeg.pdb, B, 10, 16
pdb1jqq.pdb, A, 28, 32
pdb1ju5.pdb, A, 65, 85
pdb1k4u.pdb, P, 361, 370
pdb1mv0.pdb, A, 57, 62
pdb1n5z.pdb, P, 3, 11
pdb1nlo.pdb, N, 75, 80
pdb1nlp.pdb, N, 75, 80
pdb1oeb.pdb, C, 2, 10
pdb1ov3.pdb, D, 153, 159
pdb1prl.pdb, A, 73, 79
pdb1prm.pdb, A, 72, 79
pdb1qwe.pdb, B, 71, 79
pdb1qwf.pdb, B, 75, 82
pdb1rlp.pdb, R, 71, 77
pdb1rlq.pdb, R, 71, 77
pdb1sem.pdb, C, 2, 8
pdb1ssh.pdb, B, 3, 12
pdb1uj0.pdb, B, 699, 707
pdb1uti.pdb, D, 2, 16
pdb1vyu.pdb, A, 296, 296
pdb1w70.pdb, C, 361, 369
pdb1wa7.pdb, B, 176, 183
pdb1wlp.pdb, A, 11, 17
pdb1wyx.pdb, A, 10, 10
pdb1x27.pdb, C, 186, 198
pdb1ywo.pdb, P, 1, 8
pdb1zsg.pdb, B, 189, 198
pdb1zuk.pdb, C, 4, 11
pdb2bz8.pdb, C, 903, 910
pdb2d0n.pdb, D, 233, 240
pdb2d1x.pdb, Q, 3, 11
pdb2df6.pdb, C, 180, 187
pdb2drk.pdb, B, 2, 10
pdb2drm.pdb, E, 11, 18
pdb2gbq.pdb, B, 1, 9
pdb2gnc.pdb, A, 30, 48
pdb2j05.pdb, A, 310, 310
pdb2j06.pdb, A, 280, 280
pdb2j6f.pdb, C, 907, 912
pdb2j6o.pdb, C, 328, 333
pdb2j7i.pdb, C, 326, 333
pdb2jma.pdb, B, 3, 10
pdb2kxc.pdb, B, 533, 539
pdb2lnh.pdb, C, 165, 171
pdb2o88.pdb, C, 3, 10
pdb2o9v.pdb, B, 45, 54
pdb2oi3.pdb, B, 89, 97
pdb2oj2.pdb, B, 121, 129
pdb2p4r.pdb, T, 217, 223
pdb2rol.pdb, B, 538, 544
pdb2rqu.pdb, B, 1583, 1590
pdb2rqw.pdb, B, 472, 480
pdb2sem.pdb, C, 2, 8
pdb2vkn.pdb, C, 3, 10
pdb2vwf.pdb, B, 2, 11
pdb2w0z.pdb, B, 6, 14
pdb2w10.pdb, D, 3, 10
pdb2x3w.pdb, B, 30, 34
pdb3a98.pdb, B, 709, 718
pdb3eg1.pdb, C, 3, 10
pdb3gbq.pdb, B, 1, 10
pdb3i5r.pdb, B, 3, 11
pdb3o5z.pdb, B, 19, 20
pdb3rbb.pdb, A, 75, 82
pdb3rea.pdb, C, 74, 82
pdb3reb.pdb, A, 74, 82
pdb3sem.pdb, D, 12, 17
pdb3thk.pdb, D, 74, 79
pdb3tsw.pdb, D, 473, 492
pdb3u23.pdb, B, 456, 463
pdb3ua6.pdb, B, 127, 128
pdb3ulr.pdb, C, 566, 573
pdb3zl7.pdb, A, 128, 129
pdb4afq.pdb, A, 84, 85
pdb4afs.pdb, A, 82, 84
pdb4afu.pdb, A, 82, 84
pdb4afz.pdb, A, 84, 85
pdb4ag1.pdb, A, 84, 85
pdb4ag2.pdb, A, 84, 85
pdb4cc2.pdb, B, 2, 9
pdb4cc3.pdb, H, 1, 8
pdb4cc7.pdb, L, 2, 8
pdb4d8d.pdb, D, 70, 78
pdb4eik.pdb, B, 5, 12
pdb4f14.pdb, B, 2245, 2252
