pdb1a0n.pdb, B, 84, 151
pdb1abo.pdb, B, 64, 119
pdb1abq.pdb, A, 65, 120
pdb1ad5.pdb, A, 83, 140
pdb1aey.pdb, A, 5, 61
pdb1ark.pdb, A, 2, 60
pdb1avz.pdb, C, 85, 141
pdb1aww.pdb, A, 8, 64
pdb1awx.pdb, A, 9, 64
pdb1aze.pdb, A, 1, 55
pdb1azg.pdb, B, 84, 141
pdb1b07.pdb, A, 134, 190
pdb1bb9.pdb, A, 24, 93
pdb1bbz.pdb, G, 1, 56
pdb1bk2.pdb, A, 6, 61
pdb1bu1.pdb, F, 81, 136
pdb1cka.pdb, A, 134, 190
pdb1ckb.pdb, A, 134, 190
pdb1csk.pdb, D, 12, 68
pdb1e6g.pdb, A, 6, 61
pdb1e6h.pdb, A, 6, 61
pdb1e7o.pdb, A, 7, 60
pdb1efn.pdb, C, 85, 141
pdb1fmk.pdb, A, 83, 140
pdb1fyn.pdb, A, 85, 141
pdb1g83.pdb, B, 85, 141
pdb1gbq.pdb, A, 1, 56
pdb1gcp.pdb, B, 594, 658
pdb1gcq.pdb, A, 158, 213
pdb1gfc.pdb, A, 2, 57
pdb1gfd.pdb, A, 2, 57
pdb1gl5.pdb, A, 180, 236
pdb1gri.pdb, B, 1, 56
pdb1h3h.pdb, A, 19, 73
pdb1h8k.pdb, A, 6, 61
pdb1h92.pdb, A, 5, 62
pdb1hd3.pdb, A, 6, 61
pdb1hjd.pdb, A, 23, 91
pdb1hsq.pdb, A, 6, 62
pdb1i0c.pdb, A, 6, 61
pdb1i1j.pdb, B, 22, 90
pdb1io6.pdb, A, 2, 57
pdb1j3t.pdb, A, 10, 64
pdb1jeg.pdb, A, 11, 68
pdb1jo8.pdb, A, 1, 57
pdb1jqq.pdb, D, 14, 76
pdb1ju5.pdb, C, 63, 119
pdb1jxm.pdb, A, 431, 526
pdb1jxo.pdb, B, 431, 525
pdb1k0x.pdb, A, 23, 91
pdb1k1z.pdb, A, 12, 76
pdb1k4u.pdb, S, 458, 514
pdb1k76.pdb, A, 4, 59
pdb1k9a.pdb, F, 11, 68
pdb1kfz.pdb, A, 156, 211
pdb1kik.pdb, A, 64, 119
pdb1kjw.pdb, A, 431, 526
pdb1ksw.pdb, A, 84, 140
pdb1lck.pdb, A, 63, 119
pdb1m27.pdb, C, 85, 141
pdb1m30.pdb, A, 135, 190
pdb1m3a.pdb, A, 135, 190
pdb1m3b.pdb, A, 135, 190
pdb1m3c.pdb, A, 134, 190
pdb1muz.pdb, A, 412, 481
pdb1mv0.pdb, B, 412, 481
pdb1mv3.pdb, A, 305, 481
pdb1n5z.pdb, A, 14, 76
pdb1neb.pdb, A, 3, 60
pdb1neg.pdb, A, 6, 61
pdb1ng2.pdb, A, 229, 283
pdb1nlo.pdb, C, 9, 64
pdb1nlp.pdb, C, 9, 64
pdb1nm7.pdb, A, 310, 370
pdb1nyf.pdb, A, 84, 141
pdb1nyg.pdb, A, 84, 141
pdb1oeb.pdb, B, 3, 56
pdb1oot.pdb, A, 1, 58
pdb1opk.pdb, A, 83, 138
pdb1opl.pdb, A, 82, 138
pdb1ov3.pdb, A, 229, 283
pdb1pht.pdb, A, 5, 77
pdb1pks.pdb, A, 4, 77
pdb1pkt.pdb, A, 5, 77
pdb1pnj.pdb, A, 5, 77
pdb1prl.pdb, C, 9, 64
pdb1prm.pdb, C, 9, 64
pdb1pwt.pdb, A, 5, 60
pdb1qcf.pdb, A, 83, 140
pdb1qkw.pdb, A, 6, 61
pdb1qkx.pdb, A, 6, 61
pdb1qly.pdb, A, 1, 56
pdb1qwe.pdb, A, 9, 64
pdb1qwf.pdb, A, 9, 64
pdb1rlp.pdb, C, 9, 64
pdb1rlq.pdb, C, 9, 64
pdb1ruw.pdb, A, 3, 60
pdb1s1n.pdb, A, 155, 210
pdb1sem.pdb, A, 156, 211
pdb1shf.pdb, A, 84, 141
pdb1shg.pdb, A, 6, 61
pdb1spk.pdb, A, 7, 66
pdb1srl.pdb, A, 9, 64
pdb1ssh.pdb, A, 4, 60
pdb1t0h.pdb, A, 62, 124
pdb1t0j.pdb, A, 60, 124
pdb1t3l.pdb, A, 63, 312
pdb1t3s.pdb, A, 63, 312
pdb1tg0.pdb, A, 6, 65
pdb1u06.pdb, A, 7, 61
pdb1u5s.pdb, A, 5, 64
pdb1udl.pdb, A, 35, 89
pdb1ue9.pdb, A, 7, 67
pdb1uec.pdb, A, 229, 283
pdb1uff.pdb, A, 5, 62
pdb1ug1.pdb, A, 15, 76
pdb1ugv.pdb, A, 10, 66
pdb1uhc.pdb, A, 12, 72
pdb1uhf.pdb, A, 7, 62
pdb1uj0.pdb, A, 205, 260
pdb1ujy.pdb, A, 10, 65
pdb1uti.pdb, A, 2, 56
pdb1uue.pdb, A, 6, 61
pdb1v1c.pdb, A, 2, 65
pdb1va7.pdb, D, 4, 60
pdb1vyt.pdb, A, 62, 173
pdb1vyu.pdb, B, 62, 173
pdb1vyv.pdb, A, 94, 214
pdb1w1f.pdb, A, 11, 66
pdb1w6x.pdb, B, 173, 227
pdb1w70.pdb, A, 172, 227
pdb1wa7.pdb, A, 11, 66
pdb1wdx.pdb, D, 9, 67
pdb1wfw.pdb, A, 5, 68
pdb1wi7.pdb, A, 7, 62
pdb1wie.pdb, A, 18, 80
pdb1wlp.pdb, B, 158, 213
pdb1wx6.pdb, A, 18, 78
pdb1wxb.pdb, A, 7, 62
pdb1wxt.pdb, A, 7, 62
pdb1wxu.pdb, A, 18, 80
pdb1wyx.pdb, B, 3, 61
pdb1x27.pdb, B, 63, 119
pdb1x2k.pdb, A, 7, 62
pdb1x2q.pdb, A, 17, 72
pdb1x43.pdb, A, 17, 74
pdb1x69.pdb, A, 17, 72
pdb1x6b.pdb, A, 16, 73
pdb1x6g.pdb, A, 17, 75
pdb1y0m.pdb, A, 793, 849
pdb1y57.pdb, A, 84, 140
pdb1ycs.pdb, B, 460, 518
pdb1yn8.pdb, D, 2, 58
pdb1ynz.pdb, A, 2, 56
pdb1yp5.pdb, A, 1, 58
pdb1ywo.pdb, A, 5, 59
pdb1ywp.pdb, A, 4, 60
pdb1z9q.pdb, A, 5, 60
pdb1z9z.pdb, A, 2, 60
pdb1zlm.pdb, A, 14, 69
pdb1zsg.pdb, A, 8, 63
pdb1zuk.pdb, A, 8, 67
pdb1zuu.pdb, A, 3, 57
pdb1zuy.pdb, B, 2, 59
pdb1zx6.pdb, A, 3, 57
pdb2a08.pdb, A, 5, 62
pdb2a28.pdb, A, 1, 54
pdb2a36.pdb, A, 1, 56
pdb2a37.pdb, A, 1, 56
pdb2abl.pdb, A, 81, 138
pdb2ak5.pdb, A, 8, 63
pdb2azs.pdb, A, 1, 56
pdb2azv.pdb, A, 1, 56
pdb2btt.pdb, A, 1124, 1181
pdb2bz8.pdb, A, 2, 56
pdb2bzx.pdb, A, 2, 58
pdb2c0i.pdb, B, 59, 115
pdb2c0o.pdb, B, 59, 115
pdb2c0t.pdb, B, 59, 115
pdb2cdt.pdb, A, 6, 61
pdb2cre.pdb, A, 8, 65
pdb2csi.pdb, A, 5, 70
pdb2csq.pdb, A, 5, 81
pdb2ct3.pdb, A, 8, 64
pdb2ct4.pdb, A, 7, 64
pdb2cub.pdb, A, 17, 72
pdb2cud.pdb, A, 17, 73
pdb2d0n.pdb, C, 266, 320
pdb2d1x.pdb, D, 5, 60
pdb2d8h.pdb, A, 17, 74
pdb2d8j.pdb, A, 7, 71
pdb2da9.pdb, A, 7, 64
pdb2dbk.pdb, A, 16, 73
pdb2dbm.pdb, A, 7, 62
pdb2de0.pdb, X, 504, 561
pdb2df6.pdb, A, 9, 63
pdb2dil.pdb, A, 8, 63
pdb2djq.pdb, A, 7, 63
pdb2dl3.pdb, A, 8, 62
pdb2dl4.pdb, A, 7, 62
pdb2dl5.pdb, A, 14, 70
pdb2dl7.pdb, A, 8, 66
pdb2dl8.pdb, A, 9, 64
pdb2dlp.pdb, A, 8, 65
pdb2dm1.pdb, A, 7, 64
pdb2dmo.pdb, A, 7, 62
pdb2dnu.pdb, A, 8, 63
pdb2drk.pdb, A, 4, 58
pdb2drm.pdb, B, 5, 59
pdb2dvj.pdb, A, 134, 190
pdb2dyb.pdb, A, 172, 227
pdb2e5k.pdb, A, 256, 317
pdb2ebp.pdb, A, 8, 66
pdb2ecz.pdb, A, 8, 64
pdb2ed0.pdb, A, 16, 72
pdb2ed1.pdb, A, 10, 68
pdb2ega.pdb, A, 8, 63
pdb2egc.pdb, A, 10, 68
pdb2ege.pdb, A, 8, 70
pdb2ekh.pdb, A, 9, 62
pdb2enm.pdb, A, 9, 67
pdb2epd.pdb, A, 748, 803
pdb2eqi.pdb, A, 7, 63
pdb2esw.pdb, A, 6, 61
pdb2ew3.pdb, A, 3, 58
pdb2eyx.pdb, A, 237, 294
pdb2eyy.pdb, A, 133, 189
pdb2eyz.pdb, A, 31, 190
pdb2f2v.pdb, A, 6, 61
pdb2f2w.pdb, A, 7, 61
pdb2f2x.pdb, A, 7, 61
pdb2fei.pdb, A, 1, 56
pdb2fo0.pdb, A, 83, 138
pdb2fpd.pdb, C, 3, 4294967295
pdb2fpe.pdb, C, 1, 58
pdb2fpf.pdb, C, 1, 58
pdb2g6f.pdb, X, 8, 63
pdb2gbq.pdb, A, 1, 56
pdb2gnc.pdb, B, 7, 60
pdb2gqi.pdb, A, 7, 65
pdb2gtj.pdb, A, 29, 85
pdb2gto.pdb, A, 27, 88
pdb2h8h.pdb, A, 85, 140
pdb2hck.pdb, A, 83, 140
pdb2hda.pdb, A, 93, 150
pdb2hsp.pdb, A, 6, 62
pdb2i0n.pdb, A, 11, 66
pdb2iim.pdb, A, 61, 119
pdb2j05.pdb, B, 281, 339
pdb2j06.pdb, B, 282, 339
pdb2j6f.pdb, A, 2, 57
pdb2j6k.pdb, B, 2, 57
pdb2j6o.pdb, A, 2, 57
pdb2j7i.pdb, A, 1, 57
pdb2jm8.pdb, A, 6, 61
pdb2jm9.pdb, A, 6, 61
pdb2jma.pdb, A, 6, 61
pdb2js0.pdb, A, 4, 59
pdb2jt4.pdb, A, 6, 64
pdb2jte.pdb, A, 6, 63
pdb2jw4.pdb, A, 7, 62
pdb2jxb.pdb, A, 31, 86
pdb2k2m.pdb, A, 480, 535
pdb2k3b.pdb, A, 2, 58
pdb2k6d.pdb, A, 269, 326
pdb2k79.pdb, A, 174, 229
pdb2k7a.pdb, A, 173, 229
pdb2k9g.pdb, A, 269, 326
pdb2kbt.pdb, A, 785, 841
pdb2ke9.pdb, A, 283, 344
pdb2knb.pdb, B, 292, 347
pdb2kr3.pdb, A, 7, 69
pdb2krm.pdb, A, 2, 57
pdb2krn.pdb, A, 5, 60
pdb2kro.pdb, A, 6, 63
pdb2krs.pdb, A, 1, 62
pdb2kt1.pdb, A, 7, 81
pdb2kt8.pdb, A, 2, 65
pdb2kxc.pdb, A, 341, 400
pdb2kym.pdb, A, 1, 58
pdb2l0a.pdb, A, 18, 72
pdb2l2p.pdb, A, 2, 55
pdb2l3q.pdb, A, 239, 295
pdb2l3s.pdb, A, 136, 191
pdb2lcs.pdb, A, 1, 58
pdb2lj0.pdb, A, 5, 63
pdb2lj1.pdb, A, 7, 63
pdb2lmj.pdb, A, 8, 64
pdb2lnh.pdb, B, 71, 130
pdb2lp5.pdb, A, 2, 58
pdb2lqn.pdb, A, 237, 294
pdb2lqw.pdb, A, 126, 181
pdb2lz6.pdb, B, 6, 63
pdb2m0y.pdb, A, 4, 68
pdb2m51.pdb, A, 2, 60
pdb2mcn.pdb, A, 2, 57
pdb2mio.pdb, A, 14, 70
pdb2mox.pdb, A, 869, 926
pdb2nuz.pdb, A, 7, 61
pdb2nwm.pdb, A, 0, 55
pdb2o31.pdb, A, 821, 880
pdb2o88.pdb, A, 64, 119
pdb2o9s.pdb, A, 823, 880
pdb2o9v.pdb, A, 823, 880
pdb2oaw.pdb, A, 1006, 1069
pdb2oi3.pdb, A, 25, 81
pdb2oj2.pdb, A, 25, 81
pdb2p4r.pdb, A, 9, 63
pdb2pni.pdb, A, 5, 77
pdb2ptk.pdb, A, 84, 140
pdb2pz1.pdb, A, 196, 251
pdb2rf0.pdb, A, 18, 78
pdb2rmo.pdb, A, 6, 69
pdb2rn8.pdb, A, 174, 229
pdb2rna.pdb, A, 174, 229
pdb2rol.pdb, A, 481, 535
pdb2rot.pdb, A, 6, 69
pdb2rpn.pdb, A, 2, 58
pdb2rqr.pdb, A, 59, 116
pdb2rqt.pdb, A, 1069, 1127
pdb2rqu.pdb, A, 1069, 1127
pdb2rqv.pdb, A, 157, 215
pdb2rqw.pdb, A, 158, 239
pdb2sem.pdb, A, 156, 211
pdb2src.pdb, A, 84, 140
pdb2v1q.pdb, A, 2, 60
pdb2v1r.pdb, B, 14, 76
pdb2vkn.pdb, A, 5, 65
pdb2vvk.pdb, A, 1, 55
pdb2vwf.pdb, A, 1, 55
pdb2w0z.pdb, A, 0, 55
pdb2w10.pdb, A, 6, 60
pdb2x3w.pdb, D, 385, 440
pdb2x3x.pdb, D, 385, 440
pdb2xmf.pdb, A, 0, 4294967295
pdb2ydl.pdb, A, 270, 4294967295
pdb2ysq.pdb, A, 10, 65
pdb2yt6.pdb, A, 27, 84
pdb2yun.pdb, A, 7, 62
pdb2yuo.pdb, A, 7, 62
pdb2yup.pdb, A, 17, 74
